Цена за квадрат,Этаж,Общая,Метро,Цена,Этажность здания,Широта дома,Долгота дома,Широта метро,Долгота метро,До центра,До метро,Азимут
568182.0,12,132.0,Новослободская,75000000.0,13,55.7758299,37.6036,55.77959329999999,37.60132,2.7066016512061184,0.442761232346752,314.708
526932.0,4,42.7,Минская,22500000.0,25,55.71584,37.4745609,55.724791,37.496755,10.115889517207599,1.7141901172071514,11.539
747126.0,23,60.9,Деловой центр,45500000.0,78,55.7507033,37.5358404,55.748845,37.539744,5.3589235087033975,0.3207715717305416,1.54
276786.0,1,89.6,Алтуфьево,24800000.0,4,55.9319438,37.5469833,55.897864,37.587082,20.391797327687733,4.548049615016439,297.705
793901.0,6,154.2,Смоленская,122419532.0,13,55.7533802,37.5806993,55.74726099999999,37.581945,2.532513333307177,0.6857709895240199,0.242
837838.0,5,370.0,Белорусская,310000000.0,6,55.78152369999999,37.5812482,55.776805,37.58323499999999,3.988015485740491,0.5399587210220216,330.926
1488717.0,2,161.3,Полянка,240130000.0,14,55.742222,37.621738,55.7368257,37.61854350000001,1.267016548837445,0.6334287024770807,94.484
380500.0,6,60.1,Нагатинская,22868050.0,29,55.67529,37.6549621,55.682852,37.622702,8.975266503617327,2.197152474956395,118.664
492100.0,2,22.28,Воронцовская,10963988.0,12,55.6614255,37.5316831,55.658941,37.539119,11.69838954316508,0.5436427144872709,39.24
1350000.0,8,208.7,Китай-город,281745000.0,8,55.752334,37.635405,55.7541093,37.6347486,0.9134003887848916,0.20190851859998502,176.025
238234.0,2,71.1,Тушинская,16938434.0,24,55.813728,37.48699,55.82710059999999,37.4366454,10.749398404921607,3.489291586176001,340.44
505000.0,49,132.39,Дмитровская,66856950.0,49,55.8055709,37.5712909,55.80749789999999,37.5814807,6.574879584597795,0.6740017423979688,320.393
347110.0,25,57.1,Мичуринский проспект,19820000.0,25,55.67800889999999,37.4822499,55.689425,37.483,12.120245609243709,1.2718991136081839,23.331
625000.0,11,104.0,Славянский бульвар,65000000.0,26,55.71584,37.4745609,55.7304105,37.4724634,10.115889517207599,1.6275781883324663,11.539
482700.0,41,61.6,Улица Сергея Эйзенштейна,29734320.0,48,55.835072,37.6382769,55.8312806,37.643042,9.135760449514338,0.5170570226993141,255.062
484100.0,16,117.7,Воронцовская,56978570.0,25,55.6624456,37.536584,55.658941,37.539119,11.452843046582226,0.4215466495501695,40.516
382000.0,5,111.15,Фонвизинская,42459300.0,31,55.8300509,37.5928875,55.823139,37.587435,8.693581601438405,0.8420194056904268,294.945
485340.0,6,103.0,Белорусская,49990000.0,6,55.78152369999999,37.5812482,55.776805,37.58323499999999,3.988015485740491,0.5399587210220216,330.926
694444.0,30,72.0,Выставочная,50000000.0,79,55.7507033,37.5358404,55.750223,37.541479,5.3589235087033975,0.35808672389228374,1.54
646296.0,12,54.0,Славянский бульвар,34900000.0,22,55.71584,37.4745609,55.7304105,37.4724634,10.115889517207599,1.6275781883324663,11.539
306000.0,10,83.98,Спартак,25697880.0,15,55.8199948,37.4217375,55.818146,37.435894,14.524962641231797,0.9109466412788829,345.218
267056.0,8,77.1,Хорошево,20590000.0,22,55.765938,37.485759,55.7750796,37.4770716,8.602745065982742,1.1546473590279873,355.866
406171.0,4,204.19,Павелецкая,82936056.0,19,55.7054831,37.6377913,55.731953,37.637237,5.459150090520767,2.9472773441949167,113.728
